left	right	left_type	right_type
bm_iri_3	bm_tri	modifier__symbol	modifier__symbol
bm_iri_3	bm_ibe_2	modifier__symbol	modifier__symbol
bm_iri_3	bm_ire_2	modifier__symbol	modifier__symbol
bm_iri_3	bm_iri_3	modifier__symbol	modifier__symbol
bm_iri_3	bm_ire_4	modifier__symbol	modifier__symbol
bm_iri_3	bm_tbe_2	modifier__symbol	modifier__symbol
bm_iri_3	bm_tre_2	modifier__symbol	modifier__symbol
bm_iri_3	bm_tre_4	modifier__symbol	modifier__symbol
bm_iri_3	bm_tri_3	modifier__symbol	modifier__symbol
bm_iri_3	ct	modifier__symbol	cis_trans__symbol
bm_ire_4	atom_oar	modifier__symbol	atom__symbol
bm_ire_4	atom_oal	modifier__symbol	atom__symbol
bm_ire_4	atom_oal_2	modifier__symbol	atom__symbol
bm_ire_4	anything	modifier__symbol	anything__symbol
bm_ire_4	bracket	modifier__symbol	bracket__symbol
bm_ire_4	bm_ibi	modifier__symbol	modifier__symbol
bm_ire_4	bm_iri	modifier__symbol	modifier__symbol
bm_ire_4	bm_tbi	modifier__symbol	modifier__symbol
bm_ire_4	bm_tri	modifier__symbol	modifier__symbol
bm_ire_4	bm_ibe_2	modifier__symbol	modifier__symbol
bm_ire_4	bm_ire_2	modifier__symbol	modifier__symbol
bm_ire_4	bm_iri_3	modifier__symbol	modifier__symbol
bm_ire_4	bm_ire_4	modifier__symbol	modifier__symbol
bm_ire_4	bm_tbe_2	modifier__symbol	modifier__symbol
bm_ire_4	bm_tre_2	modifier__symbol	modifier__symbol
bm_ire_4	bm_tre_4	modifier__symbol	modifier__symbol
bm_ire_4	bm_tri_3	modifier__symbol	modifier__symbol
bm_ire_4	ct	modifier__symbol	cis_trans__symbol
bm_tbe_2	atom_oar	modifier__symbol	atom__symbol
bm_tbe_2	atom_oal	modifier__symbol	atom__symbol
bm_tbe_2	atom_oal_2	modifier__symbol	atom__symbol
bm_tbe_2	anything	modifier__symbol	anything__symbol
bm_tbe_2	bracket	modifier__symbol	bracket__symbol
bm_tbe_2	bm_ibi	modifier__symbol	modifier__symbol
bm_tbe_2	bm_iri	modifier__symbol	modifier__symbol
bm_tbe_2	bm_tbi	modifier__symbol	modifier__symbol
bm_tbe_2	bm_tri	modifier__symbol	modifier__symbol
bm_tbe_2	bm_ibe_2	modifier__symbol	modifier__symbol
bm_tbe_2	bm_ire_2	modifier__symbol	modifier__symbol
bm_tbe_2	bm_iri_3	modifier__symbol	modifier__symbol
bm_tbe_2	bm_ire_4	modifier__symbol	modifier__symbol
bm_tbe_2	bm_tbe_2	modifier__symbol	modifier__symbol
bm_tbe_2	bm_tre_2	modifier__symbol	modifier__symbol
bm_tbe_2	bm_tre_4	modifier__symbol	modifier__symbol
bm_tbe_2	bm_tri_3	modifier__symbol	modifier__symbol
bm_tbe_2	ct	modifier__symbol	cis_trans__symbol
bm_tre_2	atom_oar	modifier__symbol	atom__symbol
bm_tre_2	atom_oal	modifier__symbol	atom__symbol
bm_tre_2	atom_oal_2	modifier__symbol	atom__symbol
bm_tre_2	anything	modifier__symbol	anything__symbol
