"left_charClass"	"right_charClass"	"example_pair"
"e_bm_ibe"	"s_bm_ibe"	"-("
"e_bm_ibe"	"s_bm_ire"	"--"
"e_bm_ibe"	"s_bm_ire_4"	"--"
"e_bm_ibe"	"s_bm_tbe"	"-)"
"e_bm_ibe"	"s_bm_tre"	"--"
"e_bm_ibe"	"s_bm_tre_4"	"--"
"e_bm_ire"	"s_bm_ibe"	"0("
"e_bm_ire"	"s_bm_ire"	"0-"
"e_bm_ire"	"s_bm_ire_4"	"0-"
"e_bm_ire"	"s_bm_tbe"	"0)"
"e_bm_ire"	"s_bm_tre"	"0-"
"e_bm_ire"	"s_bm_tre_4"	"0-"
"r_bm_ire"	"s_bm_ibe"	"0("
"r_bm_ire"	"s_bm_ire"	"0-"
"r_bm_ire"	"s_bm_ire_4"	"0-"
"r_bm_ire"	"s_bm_tbe"	"0)"
"r_bm_ire"	"s_bm_tre"	"0-"
"r_bm_ire"	"s_bm_tre_4"	"0-"
"e_bm_tbe"	"s_bm_ibe"	"-("
"e_bm_tbe"	"s_bm_ire"	"--"
"e_bm_tbe"	"s_bm_ire_4"	"--"
"e_bm_tbe"	"s_bm_tbe"	"-)"
"e_bm_tbe"	"s_bm_tre"	"--"
"e_bm_tbe"	"s_bm_tre_4"	"--"
"e_bm_tre"	"s_bm_ibe"	"0("
"e_bm_tre"	"s_bm_ire"	"0-"
"e_bm_tre"	"s_bm_ire_4"	"0-"
"e_bm_tre"	"s_bm_tbe"	"0)"
"e_bm_tre"	"s_bm_tre"	"0-"
"e_bm_tre"	"s_bm_tre_4"	"0-"
"r_bm_tre"	"s_bm_ibe"	"0("
"r_bm_tre"	"s_bm_ire"	"0-"
"r_bm_tre"	"s_bm_ire_4"	"0-"
"r_bm_tre"	"s_bm_tbe"	"0)"
"r_bm_tre"	"s_bm_tre"	"0-"
"r_bm_tre"	"s_bm_tre_4"	"0-"
"r_bm_iri"	"s_bm_ibe"	"0("
"r_bm_iri"	"s_bm_ire"	"0-"
"r_bm_iri"	"s_bm_ire_4"	"0-"
"r_bm_iri"	"s_bm_tbe"	"0)"
"r_bm_iri"	"s_bm_tre"	"0-"
"r_bm_iri"	"s_bm_tre_4"	"0-"
"r_bm_tri"	"s_bm_ibe"	"0("
"r_bm_tri"	"s_bm_ire"	"0-"
"r_bm_tri"	"s_bm_ire_4"	"0-"
"r_bm_tri"	"s_bm_tbe"	"0)"
"r_bm_tri"	"s_bm_tre"	"0-"
"r_bm_tri"	"s_bm_tre_4"	"0-"
"e_bm_ibe"	"s_bm_iri"	"-%"
"e_bm_ibe"	"s_bm_tri"	"-%"
"e_bm_ire"	"s_bm_iri"	"0%"
"e_bm_ire"	"s_bm_tri"	"0%"
"r_bm_ire"	"s_bm_iri"	"0%"
"r_bm_ire"	"s_bm_tri"	"0%"
"e_bm_tbe"	"s_bm_iri"	"-%"
"e_bm_tbe"	"s_bm_tri"	"-%"
"e_bm_tre"	"s_bm_iri"	"0%"
"e_bm_tre"	"s_bm_tri"	"0%"
"r_bm_tre"	"s_bm_iri"	"0%"
"r_bm_tre"	"s_bm_tri"	"0%"
"r_bm_iri"	"s_bm_iri"	"0%"
"r_bm_iri"	"s_bm_tri"	"0%"
"r_bm_tri"	"s_bm_iri"	"0%"
"r_bm_tri"	"s_bm_tri"	"0%"
"e_bm_ibe"	"l_ct"	"-/"
"e_bm_ibe"	"r_ct"	"-/"
"e_bm_ire"	"l_ct"	"0/"
"e_bm_ire"	"r_ct"	"0/"
"r_bm_ire"	"l_ct"	"0/"
"r_bm_ire"	"r_ct"	"0/"
"e_bm_tbe"	"l_ct"	"-/"
"e_bm_tbe"	"r_ct"	"-/"
"e_bm_tre"	"l_ct"	"0/"
"e_bm_tre"	"r_ct"	"0/"
"r_bm_tre"	"l_ct"	"0/"
"r_bm_tre"	"r_ct"	"0/"
"r_bm_iri"	"l_ct"	"0/"
"r_bm_iri"	"r_ct"	"0/"
"r_bm_tri"	"l_ct"	"0/"
"r_bm_tri"	"r_ct"	"0/"
