left	right	classes	next_symb
??11	?	bm_ire_4 - anything, bm_ire_4 - bm_ibi, bm_ire_4 - bm_tbi, bm_ire_4 - bracket, bm_ire_4 - ct, bm_tre_4 - anything, bm_tre_4 - bm_ibi, bm_tre_4 - bm_tbi, bm_tre_4 - bracket, bm_tre_4 - ct	A
??11	?	bm_ire_4 - anything, bm_ire_4 - bm_ibi, bm_ire_4 - bm_tbi, bm_ire_4 - bracket, bm_ire_4 - ct, bm_tre_4 - anything, bm_tre_4 - bm_ibi, bm_tre_4 - bm_tbi, bm_tre_4 - bracket, bm_tre_4 - ct	Aa
??11	?	bm_ire_4 - anything, bm_ire_4 - bm_ibi, bm_ire_4 - bm_tbi, bm_ire_4 - bracket, bm_ire_4 - ct, bm_tre_4 - anything, bm_tre_4 - bm_ibi, bm_tre_4 - bm_tbi, bm_tre_4 - bracket, bm_tre_4 - ct	aa
??11	?	bm_ire_4 - anything, bm_ire_4 - bm_ibi, bm_ire_4 - bm_tbi, bm_ire_4 - bracket, bm_ire_4 - ct, bm_tre_4 - anything, bm_tre_4 - bm_ibi, bm_tre_4 - bm_tbi, bm_tre_4 - bracket, bm_tre_4 - ct	?
??11	?	bm_ire_4 - anything, bm_ire_4 - bm_ibi, bm_ire_4 - bm_tbi, bm_ire_4 - bracket, bm_ire_4 - ct, bm_tre_4 - anything, bm_tre_4 - bm_ibi, bm_tre_4 - bm_tbi, bm_tre_4 - bracket, bm_tre_4 - ct	1
??11	?	bm_ire_4 - anything, bm_ire_4 - bm_ibi, bm_ire_4 - bm_tbi, bm_ire_4 - bracket, bm_ire_4 - ct, bm_tre_4 - anything, bm_tre_4 - bm_ibi, bm_tre_4 - bm_tbi, bm_tre_4 - bracket, bm_tre_4 - ct	??
??11	?	bm_ire_4 - anything, bm_ire_4 - bm_ibi, bm_ire_4 - bm_tbi, bm_ire_4 - bracket, bm_ire_4 - ct, bm_tre_4 - anything, bm_tre_4 - bm_ibi, bm_tre_4 - bm_tbi, bm_tre_4 - bracket, bm_tre_4 - ct	?1
??11	?	bm_ire_4 - anything, bm_ire_4 - bm_ibi, bm_ire_4 - bm_tbi, bm_ire_4 - bracket, bm_ire_4 - ct, bm_tre_4 - anything, bm_tre_4 - bm_ibi, bm_tre_4 - bm_tbi, bm_tre_4 - bracket, bm_tre_4 - ct	?11
??11	?	bm_ire_4 - anything, bm_ire_4 - bm_ibi, bm_ire_4 - bm_tbi, bm_ire_4 - bracket, bm_ire_4 - ct, bm_tre_4 - anything, bm_tre_4 - bm_ibi, bm_tre_4 - bm_tbi, bm_tre_4 - bracket, bm_tre_4 - ct	??11
??11	?	bm_ire_4 - anything, bm_ire_4 - bm_ibi, bm_ire_4 - bm_tbi, bm_ire_4 - bracket, bm_ire_4 - ct, bm_tre_4 - anything, bm_tre_4 - bm_ibi, bm_tre_4 - bm_tbi, bm_tre_4 - bracket, bm_tre_4 - ct	11
??11	?	bm_ire_4 - anything, bm_ire_4 - bm_ibi, bm_ire_4 - bm_tbi, bm_ire_4 - bracket, bm_ire_4 - ct, bm_tre_4 - anything, bm_tre_4 - bm_ibi, bm_tre_4 - bm_tbi, bm_tre_4 - bracket, bm_tre_4 - ct	111
??11	?	bm_ire_4 - anything, bm_ire_4 - bm_ibi, bm_ire_4 - bm_tbi, bm_ire_4 - bracket, bm_ire_4 - ct, bm_tre_4 - anything, bm_tre_4 - bm_ibi, bm_tre_4 - bm_tbi, bm_tre_4 - bracket, bm_tre_4 - ct	?AA1
??11	?	bm_ire_4 - anything, bm_ire_4 - bm_ibi, bm_ire_4 - bm_tbi, bm_ire_4 - bracket, bm_ire_4 - ct, bm_tre_4 - anything, bm_tre_4 - bm_ibi, bm_tre_4 - bm_tbi, bm_tre_4 - bracket, bm_tre_4 - ct	?AA11
??11	?	bm_ire_4 - anything, bm_ire_4 - bm_ibi, bm_ire_4 - bm_tbi, bm_ire_4 - bracket, bm_ire_4 - ct, bm_tre_4 - anything, bm_tre_4 - bm_ibi, bm_tre_4 - bm_tbi, bm_tre_4 - bracket, bm_tre_4 - ct	A1
??11	?	bm_ire_4 - anything, bm_ire_4 - bm_ibi, bm_ire_4 - bm_tbi, bm_ire_4 - bracket, bm_ire_4 - ct, bm_tre_4 - anything, bm_tre_4 - bm_ibi, bm_tre_4 - bm_tbi, bm_tre_4 - bracket, bm_tre_4 - ct	?111
??11	?1	bm_ire_4 - bm_ire_2, bm_ire_4 - bm_tre_2, bm_tre_4 - bm_ire_2, bm_tre_4 - bm_tre_2	a
