left	right	classes
aa	?	atom_bar_2 - bracket, atom_bar_2 - charge, atom_bar_2 - chiral
aa	?1	atom_bar_2 - charge_m, atom_bar_2 - class_m
aa	?11	atom_bar_2 - charge_m, atom_bar_2 - class_m
aa	?111	atom_bar_2 - class_m
aa	??	atom_bar_2 - charge_2, atom_bar_2 - chiral_2
aa	?AA1	atom_bar_2 - chiral_m
aa	?AA11	atom_bar_2 - chiral_m
aa	A	atom_bar_2 - hydro
aa	A1	atom_bar_2 - hydro_2
aa	aa	atom_bar_2 - atom_bar_2
